source,with_inchikey,without_inchikey,total,pct_with
ed_assessment,118,20,138,0.855072463768116
clh_process,747,140,887,0.84216459977452085
candidate_list,208,50,258,0.8062015503875969
svhc_identification,217,56,273,0.7948717948717948
authorisation_process,96,25,121,0.7933884297520661
substance_evaluation,322,94,416,0.7740384615384616
authorisation_list,45,14,59,0.7627118644067796
pesticides,1083,396,1479,0.7322515212981744
harmonised_list,3349,1406,4755,0.7043112513144059
pbt_assessment,160,88,248,0.6451612903225806
reach_registrations,15934,9250,25184,0.6327033036848793
dossier_evaluation,2748,1632,4380,0.6273972602739726
eu_positive_list,1197,819,2016,0.59375
pops_list,18,15,33,0.5454545454545454
restriction_list,31,47,78,0.3974358974358974
pops_process,4,8,12,0.3333333333333333
restriction_process,15,36,51,0.29411764705882354
sommatie_stoffen,54,1336,1390,0.03884892086330935
