from,to,n_shared
authorisation_list,authorisation_process,45
authorisation_list,candidate_list,45
authorisation_list,clh_process,8
authorisation_list,dossier_evaluation,12
authorisation_list,eu_positive_list,11
authorisation_list,harmonised_list,34
authorisation_list,pbt_assessment,5
authorisation_list,reach_registrations,30
authorisation_list,svhc_identification,44
authorisation_process,candidate_list,95
authorisation_process,clh_process,25
authorisation_process,dossier_evaluation,41
authorisation_process,ed_assessment,5
authorisation_process,eu_positive_list,28
authorisation_process,harmonised_list,65
authorisation_process,pbt_assessment,13
authorisation_process,reach_registrations,79
authorisation_process,restriction_process,6
authorisation_process,substance_evaluation,5
authorisation_process,svhc_identification,94
candidate_list,clh_process,46
candidate_list,dossier_evaluation,68
candidate_list,ed_assessment,14
candidate_list,eu_positive_list,42
candidate_list,harmonised_list,142
candidate_list,pbt_assessment,29
candidate_list,pesticides,8
candidate_list,reach_registrations,159
candidate_list,restriction_list,5
candidate_list,restriction_process,7
candidate_list,substance_evaluation,21
candidate_list,svhc_identification,201
clh_process,dossier_evaluation,260
clh_process,ed_assessment,60
clh_process,eu_positive_list,150
clh_process,harmonised_list,517
clh_process,pbt_assessment,30
clh_process,pesticides,316
clh_process,reach_registrations,478
clh_process,restriction_list,9
clh_process,restriction_process,6
clh_process,substance_evaluation,93
clh_process,svhc_identification,51
dossier_evaluation,ed_assessment,76
dossier_evaluation,eu_positive_list,562
dossier_evaluation,harmonised_list,601
dossier_evaluation,pbt_assessment,118
dossier_evaluation,pesticides,83
dossier_evaluation,reach_registrations,2727
dossier_evaluation,restriction_list,11
dossier_evaluation,restriction_process,8
dossier_evaluation,substance_evaluation,278
dossier_evaluation,svhc_identification,76
ed_assessment,eu_positive_list,41
ed_assessment,harmonised_list,63
ed_assessment,pbt_assessment,22
ed_assessment,pesticides,26
ed_assessment,reach_registrations,104
ed_assessment,substance_evaluation,71
ed_assessment,svhc_identification,15
eu_positive_list,harmonised_list,319
eu_positive_list,pbt_assessment,36
eu_positive_list,pesticides,66
eu_positive_list,reach_registrations,826
eu_positive_list,restriction_list,12
eu_positive_list,restriction_process,7
eu_positive_list,substance_evaluation,115
eu_positive_list,svhc_identification,46
harmonised_list,pbt_assessment,40
harmonised_list,pesticides,589
harmonised_list,pops_list,12
harmonised_list,reach_registrations,2201
harmonised_list,restriction_list,25
harmonised_list,restriction_process,11
harmonised_list,sommatie_stoffen,12
harmonised_list,substance_evaluation,138
harmonised_list,svhc_identification,144
pbt_assessment,pesticides,6
pbt_assessment,reach_registrations,152
pbt_assessment,substance_evaluation,91
pbt_assessment,svhc_identification,32
pesticides,pops_list,11
pesticides,reach_registrations,306
pesticides,substance_evaluation,24
pesticides,svhc_identification,9
reach_registrations,restriction_list,23
reach_registrations,restriction_process,12
reach_registrations,sommatie_stoffen,10
reach_registrations,substance_evaluation,322
reach_registrations,svhc_identification,173
restriction_list,restriction_process,9
restriction_list,svhc_identification,7
restriction_process,svhc_identification,7
substance_evaluation,svhc_identification,26
